Soil_Type,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Previous_Crop,Region,Fertilizer_Used_Last_Season,Yield_Last_Season,Recommended_Fertilizer
Clay,,23.1765863,0.3351181027,1.197623286,61.32636853,33.63716643,73.19881597,21.80910383,100.1119408,1446.742973,Cotton,Harvest,Kharif,Canal,Wheat,South,294.095892,1.083879969,MOP
Silt,5.453216548,57.35215138,0.2450662414,0.1870116688,,48.04841816,20.6422916,19.07287725,44.8933018,1136.18527,Maize,Vegetative,Kharif,Sprinkler??,Potato,Central,83.28174995,5.342055561,Urea
,8.229938441,41.59520865,1.114318152,2.125256143,42.62367773,,,33.50410532,74.97581358,954.7109462,Cotton,,Kharif,Rainfed,Tomato,South,131.8088223,7.759145739,Urea??
Clay,5.097788085,13.89768604,1.22901406,0.3850116232,,52.88980457,30.48828607,31.90997776,54.73668226,2542.438954,Wheat,Flowering,Zaid,,Potato,West,230.7078532,1.776404946,MOP
,7.594949106,,0.883794028,2.061879892,102.2778085,50.55057075,95.50031752,24.75042342,55.54620708,792.6016318,Potato??,Sowing,Kharif,Rainfed,Maize,East,194.269858,6.950905115,
Silt,78.34619727,20.8300175,0.2473079845,1.424877453,67.13776999,37.05795504,86.34291183,,55.44087936,2625.059787,,Harvest,Zaid,Sprinkler,Tomato,North,68.58186143,5.09902826,Urea-
Sandy,9.008778109,21.79934673,,2.159431403,65.97522814,,41.13080885,37.13478981,64.30272201,2302.496357,Maize,Sowing,Zaid,Canal,Potato,,70.75151589,,Urea
Sandy-,,39.17645728,0.587708171,2.839371626,41.72798695,66.07301087,24.03186431,,69.34588171,,Wheat,Harvest,Rabi,Sprinkler,Sugarcane,East,147.6930258,1.697435771,Urea
Clay,6.97402015,45.49253354,0.6224753848,1.538662739,28.04821579,,89.65618823,29.79766961,78.69565837,1522.119799,Cotton,Vegetative,Zaid,Drip,Tomato,West,182.1058031,3.537586758,Urea
Loamy,5.062393915,19.72782046,0.2428022703,,144.5270655,41.7959203,33.28615495,15.00893149,31.16590647,1533.562517,Rice,Harvest,Rabi,Sprinkler,Tomato,,,5.620415272,MOP
Clay,4.106696504,425.2903798,1.489250967,15.39306686,84.30687212,92.62603696,91.52528764,12.90105308,60.58356445,1260.926418,Maize,Harvest,Kharif,Rainfed###,Cotton,North,213.819107,7.190279759,Compost
Clay,,13.78812551,8.456875746,,69.42071413,70.26206651,103.8564466,,50.47343365,2325.660495,Potato,Vegetative,Rabi,Rainfed,Tomato,West,157.7876914,4.718809185,NPK
Clay,5.651004331,,1.063122469,2.202629192,67.69957613,73.53577023,,18.17128293,843.2627567,1968.657718,Wheat,Harvest,Zaid,Rainfed-,Tomato,North,205.0224201,2.377377008,MOP
Clay,6.998749695,33.57421642,0.2897170363,1.21468048,,68.47299429,321.5800045,38.63140872,65.41079059,2111.186237,,,Rabi,,Wheat,North,83.84972662,4.583976774,NPK
Silt,5.191739435,,0.2566224571,,,30.69723652,,23.63049896,86.91091421,2739.920426,Maize,Vegetative,Kharif,Rainfed,Cotton,South,252.5414576,2.198891232,MOP
Sandy,4.984674038,44.38236776,0.9090135691,2.597361313,115.5472588,83.8813396,11.44863015,37.54801211,57.62518773,9515.653198,Wheat,Harvest,Rabi,Sprinkler,,North,190.2521687,4.740354353,MOP
Silt,,,1.446321945,0.7965943448,109.5394343,,42.80744075,27.09317267,843.2627567,,Rice,Sowing,Kharif,Rainfed,Cotton,North,65.84268401,8.365420259,DAP
Silt,3.571978568,55.73252918,,,87.95679098,73.28757571,90.14016026,,76.7963283,2301.687643,Rice,Sowing,Zaid,,Wheat-,East,168.1323019,5.008656493,NPK
Silt,4.961515984,,0.9529462787,1.888507885,,40.95852575,15.31333954,15.20148025,67.54586074,1785.033011,Potato,Harvest,Kharif,Rainfed,Cotton,Central,,1.029574132,Urea
Clay,9.127178858,39.58420221,1.168341291,,,39.38118546,49.62828044,29.05051636,44.64571578,460.4931637,Potato,Harvest,Rabi,Canal,Sugarcane,South,130.3953398,6.164067154,Zinc Sulphate-
Loamy,6.576556842,23.2594143,0.3499558391,1.837044791,15.35406221,28.36217977,110.0402258,22.26827828,53.97434768,9515.653198,Wheat,nan,Rabi,Canal,,West,75.63445903,4.837149058,Urea
Sandy,6.913330187,52.00981795,8.456875746,1.784695718,,34.72551156,91.05278565,40.25652988,79.4627686,1901.834007,Rice,Harvest,Rabi,Sprinkler,Cotton,,200.3686872,4.086900379,Urea
Loamy,7.856057657,14.80580636,1.181982793,0.4623905784,23.97045998,83.54933424,88.9175779,26.63417554,84.01452429,370.7370534,,Sowing,Zaid,Canal,Rice,West,129.0039018,2.804464806,
Silt,7.844349088,39.72946044,0.8475640967,1.461897776,41.73359027,637.820759,126.6320686,36.14174403,45.87885952,475.547401,,Sowing,Rabi,Sprinkler,Tomato??,South,148.9665753,0.9842112565,Urea
Silt,9.935543798,6.741823494,0.4798611895,0.9653162119,43.80413434,86.93980534,43.01582719,28.35797014,68.23706399,1049.570226,Cotton,,Zaid,Rainfed,Rice,South,79.30719057,4.761708656,Urea
Loamy,,57.97458036,0.5546556892,2.508895851,130.9197134,14.3578539,81.66079279,17.51779558,100.4408276,2360.567393,Sugarcane,Flowering,Zaid,Drip,Rice###,Central,284.8293008,7.953559322,DAP
Loamy,5.141615868,23.74941184,0.7694628894,0.2143943059,108.171426,9.483328495,108.9643781,21.66512134,26.89267715,293.7997351,Maize,Flowering,Rabi-,Drip,Sugarcane,East,66.09549347,6.829440833,DAP
Loamy,3.720412958,49.23891977,1.157672701,0.8861593416,179.5956002,111.7797525,17.36372631,23.39344318,70.7121587,1554.905562,Rice,Flowering,Zaid,Drip,Potato,Central,,4.916984933,MOP
Silt,7.761959542,32.67369307,0.4006328362,3.484535977,94.47605197,62.65973433,45.46373651,25.96165145,70.81620699,579.26934,Cotton###,Sowing,Kharif-,Canal,Sugarcane,,,3.827643373,Zinc Sulphate
Silt,5.522793873,26.43756118,0.6316494371,2.568644875,77.43781437,42.65772369,46.26608181,11.85585135,69.87833947,,Cotton,,Kharif,Canal,Tomato,East,145.9430133,3.527731955,Compost
,6.312262027,42.79410982,0.9309651922,2.628440635,,69.69005764,118.0207396,11.5511294,53.83722852,2507.30407,Potato,,Zaid,Rainfed,Cotton,Central,185.6785226,,Urea
Sandy,7.071418497,50.57905613,1.086483167,0.2461165471,132.9161915,20.57951033,14.97257769,20.33833123,98.21987959,3209.83247,Sugarcane,,Kharif,Canal,Cotton,East,148.8815546,5.120221241,DAP-
Silt,6.66047991,15.38445075,1.154670275,1.805973292,95.1353543,16.04706558,65.93829982,26.86544537,92.90396291,1968.115631,Tomato,Harvest,,Canal,Maize,,1764.211314,4.550450293,DAP
,78.34619727,59.17111394,,1.481599337,77.05498498,52.92335791,98.41548003,39.19043712,79.56660407,3401.609651,Wheat,Harvest,Kharif,Sprinkler,Potato,East,186.1521019,1.782122419,DAP
Loamy,5.487641025,31.72432414,1.07478406,1.489519931,105.3132503,23.88027546,55.32807522,31.2995866,41.8725249,2681.911193,Rice,Sowing,Rabi??,Sprinkler,Tomato,West,237.2197359,4.588291613,DAP??
Sandy,5.860758103,61.59727425,1.017413482,0.2756469507,75.48936013,36.98654111,70.05530497,38.3128987,56.11496585,912.0694914,Maize,Flowering,Kharif,Canal,Cotton,,154.7174629,8.336881554,DAP
Silt,8.74675766,36.49078001,0.5063975008,0.7411239448,,25.30233889,85.02891416,29.89680055,55.62094632,2189.006636,Rice,Vegetative-,Kharif,Sprinkler,Wheat,East,122.5988685,3.221924295,DAP
,,32.44804995,0.7954645811,15.39306686,89.77394101,73.15589884,65.29533066,30.36361314,75.43351928,2367.571993,Maize,,Kharif,Drip###,Wheat,East,97.13429131,2.362203614,Zinc Sulphate
Sandy,8.146220306,50.86027311,1.003052633,0.6206702435,135.4673635,72.66096215,40.81415407,14.71317225,66.98657109,1425.777122,Maize###,Sowing,Kharif,Rainfed,Sugarcane,North,51.87883396,4.008392413,DAP
,7.37253909,36.00098104,,2.599473529,172.1110491,637.820759,321.5800045,33.4228402,36.88479829,2431.713691,Sugarcane,Flowering,nan??,Sprinkler??,Sugarcane,South,159.7864274,,Zinc Sulphate
Clay,7.428059887,32.19603784,1.571742493,3.03531028,77.1636104,43.42029055,118.9687245,18.89039113,34.79788553,2240.89374,Potato,Flowering,Zaid,Rainfed,Sugarcane,South,105.9997616,8.327012603,Compost
Clay,7.299944483,10.7664259,1.041391486,2.23449713,144.6952861,9.772724658,61.68710987,20.17658327,35.63007533,783.5965774,Maize,Flowering,Zaid,Drip,Tomato,Central,290.578195,2.936668421,DAP??
Loamy,,16.02733268,0.8781521813,15.39306686,146.0945563,29.25737808,18.62478393,14.53795001,73.11652116,2013.288656,,Flowering,Rabi,,Tomato,East,159.6272597,3.725243658,
Silt,8.60002145,36.20278843,0.183198757,2.800988084,31.84651129,45.70187274,,15.5884304,47.26712738,1841.328581,Maize,Sowing,Kharif,Drip,Sugarcane,South,165.7308466,49.70624689,Urea
Silt,5.883088986,39.54474563,0.2567728068,0.5584723495,181.3715389,68.07806084,60.19326678,28.67869466,36.12453719,2090.363945,Cotton,,Rabi,,,North,109.5107074,4.91826211,NPK
Silt,7.463928759,51.74208468,0.3553849038,,86.88566252,91.89610621,19.73025263,19.20955128,58.38146711,499.2355209,Tomato,Harvest,Kharif,Canal,Rice??,South??,132.1660134,7.612913195,MOP
Silt,7.544309256,18.9998584,8.456875746,1.388106737,98.68828624,74.56943194,50.72857147,21.29183392,84.78185077,429.3706152,Cotton,Harvest,Kharif,Sprinkler,Rice,East,267.0617547,7.378866466,Compost
,,27.49072387,0.8388858563,0.3144474422,179.0324666,46.46993888,64.0585991,24.4452886,50.47182418,2484.827712,Tomato,Sowing,Rabi,Drip,Tomato,Central,,,Zinc Sulphate
Loamy,4.208090388,28.17041365,0.832832702,0.4550444558,106.7690406,,103.7301699,27.76846477,64.09299813,1423.322968,Potato,Flowering,Kharif,Rainfed,Cotton,Central,64.9289764,4.808358924,Urea
Loamy,6.730576785,29.45314028,0.8631354644,1.471839074,146.1463046,40.4504201,36.9833216,,70.69031416,,Rice,,Rabi,Rainfed,Rice,West,127.070347,2.924931063,DAP
Clay,6.669974171,48.83550607,1.07936941,2.211449735,128.9774812,,,42.79952948,62.11613644,485.4503155,Maize,Flowering??,Rabi,Drip,Potato,Central,92.23960502,8.145486725,nan-
